iter	Passed	Remaining
0	1	107
1	2	99
2	2	93
3	3	86
4	4	85
5	5	88
6	6	89
7	8	92
8	9	92
9	10	92
10	11	90
11	12	91
12	13	91
13	14	89
14	15	88
15	16	86
16	17	83
17	17	81
18	18	80
19	19	79
20	20	78
21	22	79
22	23	78
23	24	77
24	25	76
25	26	75
26	27	75
27	28	74
28	29	73
29	30	72
30	32	71
31	32	70
32	34	69
33	35	68
34	36	67
35	37	66
36	38	65
37	39	64
38	40	63
39	42	63
40	43	62
41	43	60
42	44	59
43	45	58
44	46	57
45	48	56
46	49	55
47	50	54
48	52	54
49	53	53
50	53	51
51	54	50
52	55	49
53	56	48
54	57	47
55	58	46
56	59	45
57	60	43
58	61	42
59	62	41
60	63	40
61	64	39
62	66	38
63	67	37
64	68	36
65	69	35
66	70	34
67	72	33
68	73	32
69	74	31
70	75	30
71	76	29
72	77	28
73	78	27
74	79	26
75	81	25
76	82	24
77	83	23
78	84	22
79	85	21
80	86	20
81	87	19
82	88	18
83	89	17
84	90	15
85	91	14
86	92	13
87	93	12
88	94	11
89	96	10
90	97	9
91	98	8
92	98	7
93	99	6
94	100	5
95	101	4
96	102	3
97	103	2
98	104	1
99	105	0
